#LMID	Name	Category	Subcategory	Formula	Mass	NumofC	NumofH	NumofO	NumofN	NumofP	NumofS	H:C	H:O	C:O	C:N	C:S	C:P	Afterdecmass	AMD	RMD
LMFA01020231	"3,15-dimethyl-docosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C24H48O2N0S0P0	368.365431	24	48	2	0	0	0	2	24	12	0	0	0	0.3654	0.3654	992
LMFA13010064	"2-(oct-1-en-3-yloxy)-6-{[(3,4,5-trihydroxyoxan-2-yl)oxy]methyl}oxane-3,4,5-triol"	Fatty_Acyls	Fatty_acyl_glycosides	C19H34O10N0S0P0	422.215197	19	34	10	0	0	0	1.789473684	3.4	1.9	0	0	0	0.2152	0.2152	510
LMFA05000501	"6E,8-nonadien-2S-ol"	Fatty_Acyls	Fatty_alcohols	C9H16O1N0S0P0	140.120115	9	16	1	0	0	0	1.777777778	16	9	0	0	0	0.1201	0.1201	857
LMFA03010154	"9S,11R,15S-trihydroxy-2,3-dinor-13E-prostaenoic_acid-cyclo[8S,12R]"	Fatty_Acyls	Eicosanoids	C18H32O5N0S0P0	328.224976	18	32	5	0	0	0	1.777777778	6.4	3.6	0	0	0	0.225	0.225	686
LMFA11000618	4-methylnonane	Fatty_Acyls	Hydrocarbons	C10H22O0N0S0P0	142.17215	10	22	0	0	0	0	2.2	0	0	0	0	0	0.1721	0.1721	1211
LMFA01070013	"methyl_12,13-epoxy-9,15-octadecadienoate"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C19H32O3N0S0P0	308.235146	19	32	3	0	0	0	1.684210526	10.66666667	6.333333333	0	0	0	0.2351	0.2351	763
LMFA03100031	"(11R,15S)-12,13-seco-12,14-dioxo-8R-hydroxy-5Z,9E-prostadienoic_acid"	Fatty_Acyls	Eicosanoids	C20H32O5N0S0P0	352.224976	20	32	5	0	0	0	1.6	6.4	4	0	0	0	0.225	0.225	639
LMFA07010687	"11R-(tetradecanoyloxy)octadeca-9Z,12Z,15Z-trienoic_acid"	Fatty_Acyls	Fatty_esters	C32H56O4N0S0P0	504.417861	32	56	4	0	0	0	1.75	14	8	0	0	0	0.4179	0.4179	828
LMFA01010004	Butanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C4H8O2N0S0P0	88.05243	4	8	2	0	0	0	2	4	2	0	0	0	0.0524	0.0524	595
LMFA01050426	"3R,7R-dihydroxy-eicosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C20H40O4N0S0P0	344.292661	20	40	4	0	0	0	2	10	5	0	0	0	0.2927	0.2927	850
LMFA01020172	4-hexyl-decanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H32O2N0S0P0	256.240231	16	32	2	0	0	0	2	16	8	0	0	0	0.2402	0.2402	937
LMFA01100054	3-amino-3-methyl-propionic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C4H9O2N1S0P0	103.063329	4	9	2	1	0	0	2.25	4.5	2	4	0	0	0.0633	0.0633	614
LMFA06000091	9-hexadecenal	Fatty_Acyls	Fatty_aldehydes	C16H30O1N0S0P0	238.229666	16	30	1	0	0	0	1.875	30	16	0	0	0	0.2297	0.2297	964
LMFA07010594	(Z)-3-Hexenyl_hexanoate	Fatty_Acyls	Fatty_esters	C12H22O2N0S0P0	198.16198	12	22	2	0	0	0	1.833333333	11	6	0	0	0	0.162	0.162	818
LMFA07010221	10R-Methyldodecyl_acetate	Fatty_Acyls	Fatty_esters	C15H30O2N0S0P0	242.224581	15	30	2	0	0	0	2	15	7.5	0	0	0	0.2246	0.2246	927
LMFA02000019	"9S-hydroxy-10S,11S-epoxy-12Z,15Z-octadecadienoic_acid"	Fatty_Acyls	Octadecanoids	C18H30O4N0S0P0	310.214411	18	30	4	0	0	0	1.666666667	7.5	4.5	0	0	0	0.2144	0.2144	691
LMFA01030946	(3Z)-2-propylpent-3-enoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C8H14O2N0S0P0	142.09938	8	14	2	0	0	0	1.75	7	4	0	0	0	0.0994	0.0994	700
LMFA07050318	NA	Fatty_Acyls	Fatty_esters	C43H76O17N7S1P3	1087.423124	43	76	17	7	3	1	1.76744186	4.470588235	2.529411765	6.142857143	43	14.33333333	0.4231	0.4231	389
